date,time,PH,RTD,ORP,DO,EC,TB
2020-11-05,17:38:54,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-05,17:44:15,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-05,17:49:34,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,16:50:40,3.253,-1024.0,696.9,50.0,0.0,2
2020-11-06,16:55:44,3.249,-1024.0,1012.0,50.0,0.0,2
2020-11-06,17:01:04,3.25,-1024.0,1020.0,50.0,0.0,2
2020-11-06,17:52:26,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,17:54:54,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,17:56:42,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,17:59:42,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:00:49,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:01:57,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:09:06,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:11:08,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:15:07,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:18:42,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:20:31,3.248,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:21:33,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:23:53,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:25:34,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:26:48,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:29:34,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:30:56,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:31:53,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:32:36,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:33:21,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:35:40,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-06,18:41:00,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,12:04:28,7.435,-1024.0,-81.6,50.0,0.0,2
2020-11-07,12:08:29,3.251,-1024.0,676.5,50.0,0.0,2
2020-11-07,12:26:13,3.25,-1024.0,1015.0,50.0,0.0,2
2020-11-07,12:31:04,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,13:42:28,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,13:43:22,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,13:55:09,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,14:00:29,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,14:05:49,3.245,-1024.0,1020.0,50.0,0.0,2
2020-11-07,14:11:09,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,14:16:29,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,14:21:49,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,14:27:09,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,14:32:29,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,14:37:50,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,14:43:10,3.245,-1024.0,1020.0,50.0,0.0,2
2020-11-07,15:54:42,3.246,-1024.0,777.0,50.0,0.0,2
2020-11-07,15:58:37,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,16:03:57,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,16:18:16,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-07,16:23:36,3.246,-1024.0,1020.0,50.0,0.0,2
2020-11-10,11:08:06,3.255,-1024.0,422.6,50.0,0.0,2
2020-11-10,11:11:17,3.251,-1024.0,703.3,50.0,0.0,2
2020-11-10,11:13:06,3.253,-1024.0,793.5,50.0,0.0,2
2020-11-10,11:20:18,3.251,-1024.0,940.4,50.0,0.0,2
2020-11-10,11:21:48,3.25,-1024.0,951.9,50.0,0.0,2
2020-11-10,11:22:48,3.25,-1024.0,957.3,50.0,0.0,2
2020-11-10,11:24:10,3.25,-1024.0,965.7,50.0,0.0,2
2020-11-10,11:27:38,3.251,-1024.0,983.2,50.0,0.0,2
2020-11-10,11:29:19,3.249,-1024.0,989.4,50.0,0.0,2
2020-11-10,11:34:06,3.248,-1024.0,1008.0,50.0,0.0,2
2020-11-12,13:24:14,3.253,-1024.0,115.8,50.0,0.0,2
2020-11-12,13:58:41,3.248,-1024.0,573.1,50.0,0.0,2
2020-11-12,13:59:37,3.248,-1024.0,856.1,50.0,0.0,2
2020-11-12,14:01:04,3.248,-1024.0,891.0,50.0,0.0,2
2020-11-12,14:02:24,3.248,-1024.0,895.3,50.0,0.0,2
2020-11-26,09:41:43,3.273,-1024.0,155.3,50.0,0.0,2
2020-11-26,11:04:05,3.278,-1024.0,1020.0,50.0,0.0,2
2020-11-26,11:09:25,3.276,-1024.0,1020.0,50.0,0.0,2
2020-11-26,11:14:45,3.272,-1024.0,1020.0,50.0,0.0,2
2020-11-26,11:20:05,3.277,-1024.0,1020.0,50.0,0.0,2
2020-11-26,11:25:25,3.271,-1024.0,1020.0,50.0,0.0,2
2020-11-26,11:30:45,3.27,-1024.0,1020.0,50.0,0.0,2
2020-11-26,11:36:05,3.271,-1024.0,1020.0,50.0,0.0,2
2020-11-26,11:41:25,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-02,13:22:52,14.0,-1024.0,-516.0,50.0,0.0,2
2021-02-02,13:28:13,3.27,-1024.0,478.8,50.0,0.0,2
2021-02-02,13:30:13,3.269,-1024.0,686.4,50.0,0.0,2
2021-02-02,13:31:03,3.269,-1024.0,752.0,50.0,0.0,2
2021-02-02,13:33:22,3.269,-1024.0,903.5,50.0,0.0,2
2021-02-02,13:35:43,3.269,-1024.0,1010.0,50.0,0.0,2
2021-02-02,13:37:41,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-02,13:50:35,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-02,14:15:59,3.263,-1024.0,1020.0,50.0,0.0,2
2021-02-02,14:48:05,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-02,14:49:24,3.27,-1024.0,1020.0,50.0,0.0,2
2021-02-02,14:50:35,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-02,14:52:06,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-02,14:53:20,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-02,14:55:14,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-02,14:57:18,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-02,14:58:38,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-02,14:59:28,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-02,15:03:39,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-02,15:08:59,3.267,-1024.0,1020.0,50.0,0.0,2
2021-02-02,15:11:12,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-02,15:16:32,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-02,15:21:52,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-02,15:27:12,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:32:26,3.269,-1024.0,906.6,50.0,0.0,2
2021-02-05,13:34:01,3.271,-1024.0,976.0,50.0,0.0,2
2021-02-05,13:35:31,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:37:14,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:40:15,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:41:15,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:45:00,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:45:44,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:46:40,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:47:18,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:47:55,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:49:51,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:50:55,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:52:03,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:52:51,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,13:58:54,3.272,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:01:44,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:04:36,3.27,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:05:24,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:13:00,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:15:06,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:16:26,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:20:18,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:21:14,3.265,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:24:10,3.27,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:34:17,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:35:49,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:37:13,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:38:22,3.27,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:39:19,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:40:52,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:46:12,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:51:32,3.273,-1024.0,1020.0,50.0,0.0,2
2021-02-05,14:56:52,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,15:02:13,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,15:07:34,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,15:12:55,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,15:18:15,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-05,15:23:35,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-05,15:28:55,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-05,15:34:16,3.269,-1024.0,1020.0,50.0,0.0,2
2021-02-05,15:39:36,3.268,-1024.0,1020.0,50.0,0.0,2
2021-02-05,15:44:57,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-05,15:50:17,3.271,-1024.0,1020.0,50.0,0.0,2
2021-02-11,15:26:23,3.278,-1024.0,786.3,50.0,0.0,2
2021-02-11,15:31:43,3.274,-1024.0,1020.0,50.0,0.0,2
2021-02-11,15:37:03,3.275,-1024.0,1020.0,50.0,0.0,2
2021-02-11,15:42:24,3.274,-1024.0,1020.0,50.0,0.0,2
2021-02-11,15:47:44,3.277,-1024.0,1020.0,50.0,0.0,2
2021-02-11,15:53:04,3.273,-1024.0,1020.0,50.0,0.0,2
2021-02-11,15:58:24,3.274,-1024.0,1020.0,50.0,0.0,2
2021-02-11,16:03:10,7.00,-1024.0,1020.0,50.0,0.0,2
